N,V1,V2,V3,V4,V5,V6,V7,solutions
1,1,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0
3,1,2,0,0,0,0,0,0
4,1,2,0,0,0,0,0,0
5,1,4,0,0,0,0,0,0
6,1,4,0,0,0,0,0,0
7,1,6,0,0,0,0,0,0
8,1,6,1,0,0,0,0,0
9,1,8,12,0,0,0,0,0
10,1,8,6,0,0,0,0,0
11,1,10,20,0,0,0,0,0
12,1,10,25,0,0,0,0,0
13,1,12,36,0,0,0,0,0
14,1,12,27,0,0,0,0,0
15,1,14,64,0,0,0,0,0
16,1,14,51,0,0,0,0,0
17,1,16,80,0,0,0,0,0
18,1,16,75,0,0,0,0,0
19,1,18,108,0,0,0,0,0
20,1,18,104,0,0,0,0,0
21,1,20,144,0,0,0,0,0
22,1,20,125,2,0,0,0,0
23,1,22,176,9,0,0,0,0
24,1,22,172,24,0,0,0,0
25,1,24,220,28,0,0,0,0
26,1,24,198,37,0,0,0,0
27,1,26,264,243,0,0,0,0
28,1,26,246,78,0,0,0,0
29,1,28,308,196,0,0,0,0
30,1,28,298,244,0,0,0,0
31,1,30,360,357,0,0,0,0
32,1,30,343,299,0,0,0,0
33,1,32,420,892,0,0,0,0
34,1,32,392,471,0,0,0,0
35,1,34,480,726,0,0,0,0
36,1,34,463,1083,0,0,0,0
37,1,36,540,1242,0,0,0,0
38,1,36,513,1004,0,0,0,0
39,1,38,612,2187,0,0,0,0
40,1,38,589,1363,0,0,0,0
41,1,40,680,2251,0,0,0,0
42,1,40,657,2069,0,0,0,0
43,1,42,756,2904,0,0,0,0
44,1,42,730,2694,0,0,0,0
45,1,44,844,4254,0,0,0,0
46,1,44,803,3008,0,0,0,0
47,1,46,920,4549,0,0,0,0
48,1,46,898,4554,0,0,0,0
49,1,48,1008,5308,0,0,0,0
50,1,48,976,4540,0,0,0,0
51,1,50,1104,7557,0,0,0,0
52,1,50,1068,6149,0,0,0,0
53,1,52,1196,7983,0,0,0,0
54,1,52,1164,7395,0,0,0,0
55,1,54,1300,9495,0,0,0,0
56,1,54,1261,8023,0,0,0,0
57,1,56,1404,12047,0,0,0,0
58,1,56,1358,9358,0,0,0,0
59,1,58,1508,12768,0,0,0,0
60,1,58,1481,12620,2,0,0,0
61,1,60,1620,14701,6,0,0,0
62,1,60,1575,12641,9,0,0,0
63,1,62,1740,17487,7,0,0,0
64,1,62,1695,15074,29,0,0,0
65,1,64,1860,19343,58,0,0,0
66,1,64,1815,17791,126,0,0,0
67,1,66,1980,21624,130,0,0,0
68,1,66,1936,19891,150,0,0,0
69,1,68,2112,25688,669,0,0,0
70,1,68,2061,21009,229,0,0,0
71,1,70,2240,27258,573,0,0,0
72,1,70,2200,25786,1563,0,0,0
73,1,72,2376,30403,1010,0,0,0
74,1,72,2322,26887,881,0,0,0
75,1,74,2524,35610,2754,0,0,0
76,1,74,2466,31206,1359,0,0,0
77,1,76,2660,36913,2303,0,0,0
78,1,76,2610,34935,3772,0,0,0
